Country,Year,UN,MDP-Area,WB,Overweight,Stunting,Underweight,Under5-Population
PAKISTAN,2012,SOUTHASI,Southern Asia,Lower middle income,4.8,45,31.6,"21,995.93"
SOUTH AFRICA,1994,SOUTHAFR,Sub-Saharan Africa,Upper middle income,,31.5,,"5,102.25"
SOUTH AFRICA,1995,SOUTHAFR,Sub-Saharan Africa,Upper middle income,10.3,28.7,8,"5,066.16"
SOUTH AFRICA,1999,SOUTHAFR,Sub-Saharan Africa,Upper middle income,10.4,30.1,9.8,"4,855.14"
SOUTH AFRICA,2004,SOUTHAFR,Sub-Saharan Africa,Upper middle income,19.2,32.8,11.6,"5,031.21"
SOUTH AFRICA,2008,SOUTHAFR,Sub-Saharan Africa,Upper middle income,,23.9,8.7,"5,460.80"
USA,1991,NORTHAME,Developed regions,High income: OECD,5.4,3.2,0.9,"19,302.17"
USA,2001,NORTHAME,Developed regions,High income: OECD,7,3.3,1.1,"19,308.92"
USA,2005,NORTHAME,Developed regions,High income: OECD,8.1,3.2,1.1,"20,114.18"
USA,2009,NORTHAME,Developed regions,High income: OECD,7.8,2.7,0.8,"20,459.90"
USA,2012,NORTHAME,Developed regions,High income: OECD,6,2.1,0.5,"20,623.40"
VENEZUELA,1987,SOUTHAME,Latin America & the Caribbean,Upper middle income,9,7,3.9,"2,578.49"
VENEZUELA,1990,SOUTHAME,Latin America & the Caribbean,Upper middle income,4,18.6,6.7,"2,726.28"
VENEZUELA,1991,SOUTHAME,Latin America & the Caribbean,Upper middle income,4.3,18.2,5.4,"2,764.44"
VENEZUELA,1992,SOUTHAME,Latin America & the Caribbean,Upper middle income,4.9,18.3,4.5,"2,774.96"
VENEZUELA,1993,SOUTHAME,Latin America & the Caribbean,Upper middle income,4.9,17.4,4,"2,765.70"
VENEZUELA,1994,SOUTHAME,Latin America & the Caribbean,Upper middle income,5,17.9,3.9,"2,752.64"
VENEZUELA,1995,SOUTHAME,Latin America & the Caribbean,Upper middle income,4.7,18.9,4.1,"2,746.85"
VENEZUELA,1996,SOUTHAME,Latin America & the Caribbean,Upper middle income,4.7,19.3,4.4,"2,730.27"
VENEZUELA,1997,SOUTHAME,Latin America & the Caribbean,Upper middle income,5,19.9,4.5,"2,732.26"
VENEZUELA,1998,SOUTHAME,Latin America & the Caribbean,Upper middle income,4.9,19.2,4.6,"2,747.95"
VENEZUELA,1999,SOUTHAME,Latin America & the Caribbean,Upper middle income,5.2,18.3,4.1,"2,766.93"
VENEZUELA,2000,SOUTHAME,Latin America & the Caribbean,Upper middle income,5.3,17.4,3.9,"2,781.99"
VENEZUELA,2001,SOUTHAME,Latin America & the Caribbean,Upper middle income,5.4,17.3,4,"2,804.85"
VENEZUELA,2002,SOUTHAME,Latin America & the Caribbean,Upper middle income,5.4,17.6,4.2,"2,822.65"
VENEZUELA,2003,SOUTHAME,Latin America & the Caribbean,Upper middle income,5.3,17.7,4.6,"2,836.07"
VENEZUELA,2004,SOUTHAME,Latin America & the Caribbean,Upper middle income,5.2,17.1,4.5,"2,848.72"
VENEZUELA,2005,SOUTHAME,Latin America & the Caribbean,Upper middle income,5.5,16.2,4.1,"2,863.35"
VENEZUELA,2006,SOUTHAME,Latin America & the Caribbean,Upper middle income,6.1,16.2,3.9,"2,884.66"
VENEZUELA,2007,SOUTHAME,Latin America & the Caribbean,Upper middle income,6.1,15.6,3.7,"2,901.04"
VENEZUELA,2008,SOUTHAME,Latin America & the Caribbean,Upper middle income,6.3,14.6,3.2,"2,914.05"
VENEZUELA,2009,SOUTHAME,Latin America & the Caribbean,Upper middle income,6.4,13.4,2.9,"2,924.67"
